1,modzcta,all_years_avg_testers,all_years_avg_offers,all_years_wt_avg,2015_19_avg_testers,2015_19_avg_offers,2015_19_wt_avg,avg_testers_2020,avg_offers_2020,wt_avg_2020,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020,cum_ave_death_rate
38,10312,139,85.5,33.726618705036,129,75.5,25.226618705036,139,34,35.1079136690648,1494,5966,25,27.8,73.7,18,NA,0,0,0,NA,8.2,9.8,19.916666666666668
39,10314,71.5,40.1666666666667,13.2522522522523,75,43.6666666666667,12.7522522522523,68.6666666666667,8.66666666666667,12.1553398058252,2639,10151,26,24.9,163.2,54,15.1,NA,0,NA,NA,6.5,44.3,51.44
40,10451,9.6,5.5,5,11.1,7.5,5,6.8,5,5,1603,5575,28.8,38,280.8,40.1,10.6,NA,NA,0,NA,NA,NA,73.9
41,10452,28,11,5,33.5,16.5,5,17.3333333333333,5,5,2393,8242,29,23.9,227.4,29.3,12,NA,6.6,0,0,NA,9.3,49.86666666666667
42,10453,18.4,10,5,23.9,16,5,15.4,5,5,2353,7825,30.1,38.1,188.1,38.1,6.4,NA,0,NA,NA,NA,10.2,54.14
43,10454,13,7,5,12.5,7,5,9.5,5,5,1126,4202,26.8,29.1,264.3,34.4,13.2,NA,0,NA,0,NA,15.9,68.2
44,10455,10.6666666666667,7,5,13.1666666666667,10,5,9.25,5,5,1266,4237,29.9,16.7,241.1,43,11.9,NA,NA,0,0,NA,NA,62.54
45,10456,19.8333333333333,10.5833333333333,5.28467153284672,22.8333333333333,13.5833333333333,5.28467153284672,16.7857142857143,5,5,2477,9067,27.3,36.5,283.3,47.2,11.8,NA,NA,NA,NA,NA,7.5,94.7
46,10457,24.5714285714286,14.3571428571429,10.3938547486034,27.5714285714286,17.8571428571429,14.3938547486034,22.6923076923077,5.07692307692308,5.49491525423729,2082,7495,27.8,36.6,200.8,38,12.2,NA,NA,0,0,8.1,NA,57.52
47,10458,29,15.5,5,31,17,5,26,5,5,2034,7256,28,13.3,126.9,37.5,NA,NA,0,NA,NA,NA,12.1,44.425
48,10459,7.83333333333333,7,5,7.33333333333333,6.5,5,9.66666666666667,5,5,1483,4844,30.6,35.5,313.3,33.4,14.6,0,NA,NA,0,NA,NA,79.36
49,10460,17.625,11,5,17.625,11,5,17.25,5,5,1635,5550,29.5,25.5,202.1,25.5,8.5,NA,0,NA,0,NA,11.9,52.32
50,10461,66,32,5,65.5,31.5,5,59,5,5,1867,6679,28,34.6,205.7,61.1,12.2,NA,NA,NA,0,0,16.3,78.39999999999999
51,10462,67.75,37,8.7129963898917,80.75,50.5,9.2129963898917,66.25,7.25,7.52452830188679,2263,8315,27.2,37.2,185.9,45.1,8,NA,0,NA,NA,NA,13.3,55.24
52,10463,47.4,25.3,10.1666666666667,50.4,29.3,8.16666666666667,43.6,8,10.9174311926606,2009,8365,24,42.9,295.8,64.3,18.6,7.1,NA,NA,NA,NA,24.3,85.74
53,10464,13.5,9,5,10.5,6,5,13,5,5,118,555,21.3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
54,10465,43.1666666666667,28.5,12.7758620689655,45.1666666666667,30,14.7758620689655,48.3333333333333,9,12.1172413793103,1478,5750,25.7,20.9,208.7,20.9,13.9,NA,NA,NA,NA,NA,NA,66.1
55,10466,21.5,11,5,24.5,14,5,17,5,5,2385,7678,31.1,49.1,180.9,32.3,NA,NA,NA,NA,NA,NA,NA,87.43333333333334
56,10467,27.8888888888889,15,5,29.8888888888889,17.5,5,25.1111111111111,5,5,3373,11067,30.5,53.9,265.5,53.9,6.9,9.8,4.9,NA,0,NA,8.8,65.81666666666666
57,10468,20,13,5,20,13,5,21,5,5,2739,9658,28.4,30.8,199.2,65.5,16.7,NA,NA,NA,0,NA,12.9,78.05
58,10469,39,21,5,46.5,29,5,37.3333333333333,5,5,2988,9735,30.7,79.9,399.4,64.7,12.4,9.6,NA,NA,NA,NA,16.5,113.2
59,10470,34,18.5,5,33,17.5,5,32,5,5,450,1793,25.1,NA,120.1,NA,NA,NA,NA,0,NA,0,NA,60.05
60,10472,26.75,16.5,5,33.25,23,5,28.75,5,5,1944,6011,32.3,41.2,214.8,53,10.3,0,NA,NA,NA,NA,13.2,63.86
61,10473,19.1,10.5,5,19.6,11.5,5,16.8,5,5,1918,6637,28.9,37.2,192.9,35.5,13.5,NA,NA,NA,NA,NA,16.9,69.775
62,10474,11,8.5,5,7.5,5,5,12,5,5,323,1084,29.8,NA,133.6,50.1,NA,0,0,NA,0,0,0,45.925
63,10475,95.6666666666667,48.5,7.67704918032787,112.666666666667,65.5,8.67704918032787,89.3333333333333,5.33333333333333,5.40298507462687,1695,5778,29.3,84.2,318.2,65.5,11.7,NA,0,NA,NA,NA,11.7,95.92
64,11004,165.5,93,26,162,89.5,27.5,155,21,21,584,2796,20.9,26.4,337.7,73.9,NA,NA,0,NA,0,0,26.4,109.5
65,11101,34.5,23.8333333333333,5.67901234567901,29,17.8333333333333,8.17901234567901,42.6666666666667,5.33333333333333,5.78125,626,3455,18.1,24.4,119.4,13.6,0,NA,NA,0,0,NA,NA,31.48
66,11102,12.5,10.5,5,10,8,5,16,5,5,609,3044,20,49.9,223,56.6,NA,NA,NA,0,NA,0,26.6,82.375
67,11103,73,31,5,66,24,5,57,5,5,574,3075,18.7,20,148.8,31.5,NA,NA,NA,NA,NA,NA,NA,66.76666666666667
68,11105,132,88.5,38,148,105,37.5,127,39,32.8818897637795,488,2989,16.3,13.8,99.5,44.2,NA,NA,NA,NA,0,NA,NA,52.5
69,11106,42.75,31.75,25.4444444444444,42.75,31.75,23.9444444444444,42.75,17,19.9824561403509,641,3139,20.4,16,152.3,32.1,NA,NA,NA,0,NA,NA,NA,50.1
70,11109,17.5,13.5,5,17,13,5,22,5,5,48,438,11,0,NA,NA,0,0,0,NA,NA,NA,0,0
71,11201,26.5,20.5,8.47142857142857,29,23,6.97142857142857,36,8.66666666666667,11.6203703703704,696,5783,12,19.3,142.9,40.1,9.6,NA,NA,0,NA,NA,NA,42.38
72,11203,24.6666666666667,12.5,5,30.1666666666667,18.5,5,20,5,5,2070,7329,28.2,68.2,275.5,46.4,8.2,NA,0,0,NA,NA,13.6,66.38333333333334
73,11204,61.0555555555556,34.3333333333333,14.8231046931408,66.5555555555556,40.3333333333333,15.3231046931408,59.6666666666667,10.8888888888889,13.975791433892,2028,8535,23.8,29.8,145.3,28.5,10.4,NA,NA,0,7.8,NA,15.6,42.8
74,11205,22.4,12,5,24.4,15,5,19.8,5,5,723,3549,20.4,NA,110.3,13.2,NA,NA,0,0,0,0,11,30.875
75,11206,44.5,24.3,25.5510204081633,47.5,27.3,21.0510204081633,39.6,9.8,24.1515151515152,1602,7240,22.1,24.2,159.2,26.5,NA,NA,NA,NA,NA,NA,6.9,69.96666666666667
76,11207,14.875,7.5,5,22.875,16,5,10.5555555555556,5,5,2076,7617,27.3,35.9,233.6,35.9,7.9,NA,NA,NA,0,5.6,11.2,78.325
77,11208,14.75,9,5,16.25,11,5,13.125,5,5,2379,7930,30,28.3,234.4,41.9,10.5,NA,NA,NA,NA,6.3,19.9,78.775
78,11209,60,30,8.72058823529412,62.5,32.5,8.22058823529412,52,8,7.80769230769231,1128,5811,19.4,20.7,130.3,37,NA,NA,NA,0,NA,0,13.3,47
79,11210,50,19.5,5.78030303030303,48,17.5,5.78030303030303,33.5,5,5,1681,6133,27.4,38.1,214.7,33.5,10.7,NA,0,0,NA,NA,7.6,49.5
80,11211,32,21,5,33,22,5,37.6666666666667,5,5,2073,10675,19.4,25.6,116.1,12.8,4.9,NA,0,NA,NA,4.9,5.9,31.88
81,11212,17.3,8.7,5.50704225352113,21.3,12.7,5.50704225352113,12.8,5,5,1870,7029,26.6,64.9,293.4,41.9,13.5,NA,NA,0,NA,NA,18.9,82.74
82,11213,26.5,15,5,43.5,32.5,5,25.3333333333333,5,5,1391,5274,26.4,32.5,244.6,38.7,9.3,NA,NA,NA,NA,NA,9.3,81.275
83,11214,50.5,28.5,17.1261682242991,57,35,18.6261682242991,47.5,8.25,14.9210526315789,1535,6736,22.8,10.8,191.8,46.3,6.5,NA,NA,NA,NA,14,23.7,63.85
84,11215,121.5,75.25,50.858024691358,122.5,76.25,58.858024691358,122,28.25,43.4426229508197,621,4325,14.4,8.6,61.8,11.5,NA,0,NA,NA,NA,NA,7.2,20.475
85,11216,14,9.5,5,14.5,10,5,14,5,5,733,3812,19.2,21.9,127.7,42,9.1,NA,NA,0,0,NA,12.8,40.14
86,11217,62.5,46.5,42.4761904761905,62.5,46.5,42.9761904761905,61.5,18.5,28.9268292682927,614,3131,19.6,26.9,195.7,39.1,NA,NA,0,NA,NA,NA,NA,65.425
87,11218,55,27.5,6.41803278688525,60,32.5,6.91803278688525,49,5.66666666666667,5.78231292517007,1721,7085,24.3,29.7,179.7,36.5,NA,NA,0,NA,NA,NA,9.5,61.474999999999994
88,11219,328,305.5,258.5,317,294.5,255,315,221,221,3047,13895,21.9,25.5,186.5,26.6,6.7,NA,NA,5.6,NA,8.9,NA,50.18
89,11220,178,92.5,24.5,180,94.5,25.5,153,17,17,1539,5952,25.9,16.9,153.3,23.3,8.5,NA,NA,NA,NA,NA,14.8,50.5
90,11221,13.9285714285714,8,5,16.4285714285714,11,5,11.5714285714286,5,5,1304,5834,22.4,14.7,173.1,40.5,7.4,NA,NA,0,NA,NA,11.1,47.14
91,11222,24,11,5,32,19,5,17,5,5,442,3244,13.6,NA,80.3,22.1,NA,0,NA,0,NA,0,NA,25.6
92,11223,66.5,42.3333333333333,20.1045197740113,69.5,45.8333333333333,19.6045197740113,74,9.66666666666667,16.7927927927928,1707,6734,25.3,20.9,139.9,47.9,NA,NA,0,0,0,8.6,16,41.74
93,11224,134,94.3333333333333,153.623620309051,135.5,95.8333333333333,154.623620309051,116.333333333333,53.6666666666667,129.664756446991,1169,4386,26.7,23.8,479.8,99.4,17.3,NA,NA,NA,NA,NA,30.3,155.07500000000002
94,11225,31.1666666666667,18.5,5,30.6666666666667,18,5,32,5,5,1141,4444,25.7,48.7,210.4,38.3,8.7,NA,0,NA,NA,NA,NA,61.22
95,11226,21.25,9.5,5,25.75,14,5,14.75,5,5,2252,8268,27.2,58.5,279.4,41.1,10.3,NA,NA,NA,NA,NA,14.4,97.325
96,11228,224.333333333333,159.166666666667,90.7920065252855,227.333333333333,162.666666666667,92.7920065252855,244.333333333333,66,84.5593451568895,669,2975,22.5,24.5,184.5,26.7,13.3,NA,0,NA,NA,NA,NA,49.8
97,11229,136.5,77.8333333333333,52.5064935064935,151,92.3333333333333,52.5064935064935,118.333333333333,20,27.0985915492958,1768,10981,16.1,29.9,155.6,35.9,14.4,NA,NA,NA,6,NA,14.4,58.95
98,11230,14,10.5,5,12.5,9,5,16,5,5,2354,9746,24.2,34.9,265.5,38.2,NA,7.9,NA,NA,7.9,10.1,16.9,86.625
99,11231,21,18.5,9.5,16,13.5,5,32,11,14.1875,423,2573,16.4,18.7,93.6,13.4,NA,NA,0,0,0,NA,NA,25.14
100,11232,43,23.5,5,39.5,19.5,5,42,5,5,528,1995,26.5,NA,110.8,44.3,NA,0,0,0,NA,0,NA,31.02
101,11233,9.25,7,5,9.25,7,5,9.14285714285714,5,5,1256,4818,26.1,39,187,33.6,10.8,NA,NA,NA,NA,8.1,17.5,67.6
102,11234,38.5,20.5,5.62941176470588,37.5,19.5,5.62941176470588,34.5,5,5,2239,8158,27.4,37.2,172.2,29.8,6.4,NA,0,NA,NA,NA,10.6,49.12
103,11235,107.5,70.5,89.1778846153846,107,70.5,82.1778846153846,111,31.25,93.445945945946,2038,8246,24.7,34.5,319.7,76.7,11.5,6.4,NA,NA,NA,12.8,21.7,89.76
104,11236,42.8,19.2,7.20454545454545,48.3,24.7,6.20454545454545,32.2,6.2,7.8695652173913,2702,9068,29.8,56.6,264.6,39.1,10.3,NA,NA,NA,5.1,NA,10.3,92.65
105,11237,73.3333333333333,37.6666666666667,9.44468085106383,93.3333333333333,58.1666666666667,8.94468085106383,67.6666666666667,6.33333333333333,6.21674876847291,969,4021,24.1,35.4,195.8,37.5,NA,0,NA,0,0,0,NA,53.74
106,11238,15,6,5,19.5,10.5,5,7,5,5,781,4202,18.6,14.9,181.1,39.2,NA,0,NA,0,0,NA,NA,47.04
107,11239,31.5,14.5,5,30,13,5,24.5,5,5,517,1778,29.1,84.5,606.7,92.1,53.8,NA,0,0,NA,46.1,NA,139.51666666666668
108,11354,261.5,173.5,89.5,253.5,165.5,91.5,248,80,80,1185,4468,26.5,40.8,424.7,109.4,29.7,9.3,NA,NA,NA,11.1,22.3,122.78
109,11355,112.333333333333,75.8333333333333,44.3111782477341,119.333333333333,82.8333333333333,40.8111782477341,114.333333333333,27.6666666666667,40.533527696793,1275,4405,28.9,17.8,191.5,38,NA,6.3,NA,NA,NA,NA,16.5,63.4
110,11357,166,119.5,59.5,159,112.5,48.5,194,74,74,811,3362,24.1,NA,222.1,49.1,20.7,NA,NA,0,0,NA,NA,72.975
111,11358,72,50.5,32.259842519685,78,56.5,31.759842519685,81,21,32.6543209876543,566,2570,22,19.4,99.9,16.7,NA,NA,0,0,0,NA,NA,27.2
