1,modzcta,all_years_avg_testers,all_years_avg_offers,all_years_wt_avg,2015_19_avg_testers,2015_19_avg_offers,2015_19_wt_avg,avg_testers_2020,avg_offers_2020,wt_avg_2020,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020,cum_ave_death_rate
NA,10016,NA,NA,NA,NA,NA,NA,NA,NA,NA,686,5063,13.5,19.6,68.7,NA,NA,0,NA,0,NA,NA,NA,22.075000000000003
NA,10017,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,1293,11.1,NA,64,NA,0,NA,NA,0,NA,0,NA,21.333333333333332
NA,10018,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,1247,16.4,NA,42.4,0,0,NA,NA,0,NA,0,0,10.6
NA,10019,NA,NA,NA,NA,NA,NA,NA,NA,NA,598,4008,14.9,NA,96.5,NA,NA,NA,0,NA,NA,0,NA,48.25
NA,10022,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,2804,12.1,NA,71.2,29.1,NA,0,0,NA,0,NA,NA,25.075000000000003
NA,10028,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,3707,12.6,NA,50.7,14.8,NA,NA,NA,NA,0,0,NA,32.75
NA,10037,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,2656,20.3,38.5,269.3,24,33.7,NA,NA,NA,NA,NA,24,91.375
NA,10069,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,453,11.9,NA,NA,NA,0,0,NA,0,NA,0,0,0
NA,10303,NA,NA,NA,NA,NA,NA,NA,NA,NA,870,2955,29.4,NA,120.7,45.3,NA,NA,0,0,NA,NA,18.9,41.5
NA,10305,NA,NA,NA,NA,NA,NA,NA,NA,NA,1228,4618,26.6,NA,142.3,42,11.7,NA,0,0,0,NA,18.7,39.2
NA,10309,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,3365,24.9,24.3,82,15.2,NA,0,NA,0,NA,NA,27.3,24.3
NA,10471,NA,NA,NA,NA,NA,NA,NA,NA,NA,791,3635,21.8,37.7,324.8,75.3,28.2,NA,NA,NA,0,NA,NA,116.5
NA,11104,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,2212,22.2,43.2,133.7,39.3,NA,0,0,0,0,NA,NA,36.03333333333333
NA,11356,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,2013,27.4,NA,162.2,26.3,0,0,0,0,0,0,NA,31.416666666666664
NA,11363,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,486,20.2,0,89.1,NA,NA,0,NA,NA,NA,0,0,29.7
NA,11370,NA,NA,NA,NA,NA,NA,NA,NA,NA,1327,4014,33.1,28.3,204.5,NA,18.9,0,0,0,0,NA,NA,41.95
NA,11415,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,2004,26.6,26.5,249,53,31.8,NA,NA,0,0,0,NA,72.06
NA,11418,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085,3544,30.6,34.6,191.6,39.9,NA,0,NA,0,0,0,16,53.22
NA,11419,NA,NA,NA,NA,NA,NA,NA,NA,NA,1192,3914,30.5,28.9,173.2,39.2,NA,NA,0,NA,0,NA,12.4,60.325
NA,11421,NA,NA,NA,NA,NA,NA,NA,NA,NA,1187,3860,30.8,32.5,219.7,30,0,NA,0,NA,0,0,15,56.44
NA,11427,NA,NA,NA,NA,NA,NA,NA,NA,NA,778,2604,29.9,29.7,135.7,29.7,NA,NA,0,0,0,NA,NA,39.02
NA,11429,NA,NA,NA,NA,NA,NA,NA,NA,NA,941,3041,30.9,21.6,201.4,61.1,NA,NA,0,0,NA,0,18,56.82
NA,11436,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,1764,29.4,29.9,189.6,NA,NA,NA,0,0,NA,NA,NA,54.875
NA,11697,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,1144,9.4,NA,NA,NA,0,0,NA,NA,NA,0,0,0
