zip,modzcta,dbn,feeder_school,n_hs_applicants,n_testers,n_offers,year,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020
10002,10002,01M188,P.S. 188 THE ISLAND SCHOOL (01M188),60,9,5,2019,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL (01M332),78,12,5,2019,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M378,SCHOOL FOR GLOBAL LEADERS (01M378),92,18,5,2019,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL (01M539)",140,121,82,2019,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,02M131,M.S. 131 (02M131),144,74,6,2019,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M140,P.S. 140 NATHAN STRAUS (01M140),56,9,5,2020,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M184,P.S. 184M SHUANG WEN (01M184),112,79,29,2020,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M188,P.S. 188 THE ISLAND SCHOOL (01M188),49,5,5,2020,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL (01M332),70,10,5,2020,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M378,SCHOOL FOR GLOBAL LEADERS (01M378),61,12,5,2020,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL (01M539)",135,116,76,2020,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10002,10002,02M131,M.S. 131 (02M131),110,40,5,2020,1053,5047,20.9,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6
10003,10003,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,105,105,62,2015,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,21,21,5,2015,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,22,22,5,2015,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",13,13,5,2015,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,126,110,65,2016,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,93,21,11,2016,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,70,11,5,2016,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",19,10,5,2016,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,131,108,70,2017,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,96,36,17,2017,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,75,21,8,2017,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",25,15,5,2017,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,132,105,64,2018,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M260,THE CLINTON SCHOOL,98,25,5,2018,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
10003,10003,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,72,13,5,2018,450,3697,12.2,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA
