zip,modzcta,dbn,n_hs_applicants,n_testers,n_offers,year,borough,x3_2020,x4_2020,x5_2020,x6_2020,x7_2020,x8_2020,x9_2020,x10_2020,x11_2020,x12_2020,cum_ave_death_rate
10003,10003,02M255,131,108,70,2017,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M260,96,36,17,2017,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M407,75,21,8,2017,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M442,25,15,5,2017,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M255,132,101,61,2019,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M260,97,37,11,2019,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M407,75,7,5,2019,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M442,20,11,5,2019,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M255,125,104,72,2020,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M260,94,46,22,2020,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M407,71,17,5,2020,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10003,10003,02M442,25,17,5,2020,MANHATTAN,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10004,10004,02M896,66,66,13,2015,MANHATTAN,0,NA,0,NA,NA,NA,NA,NA,0,0,0
10004,10004,02M896,126,73,13,2016,MANHATTAN,0,NA,0,NA,NA,NA,NA,NA,0,0,0
10004,10004,02M896,129,70,8,2017,MANHATTAN,0,NA,0,NA,NA,NA,NA,NA,0,0,0
10004,10004,02M896,124,49,5,2019,MANHATTAN,0,NA,0,NA,NA,NA,NA,NA,0,0,0
10004,10004,02M896,123,59,7,2020,MANHATTAN,0,NA,0,NA,NA,NA,NA,NA,0,0,0
10005,10005,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,NA,0
10006,10006,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0
10007,10007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10009,10009,01M034,8,8,5,2015,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M450,16,16,5,2015,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M839,39,39,6,2015,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M034,61,10,5,2016,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M450,106,11,5,2016,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M839,122,63,8,2016,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M034,58,6,5,2017,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M450,94,16,5,2017,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M839,126,66,14,2017,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M034,47,5,5,2019,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M450,106,25,5,2019,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M839,123,58,7,2019,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M034,44,5,5,2020,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M450,104,16,5,2020,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10009,10009,01M839,113,33,8,2020,MANHATTAN,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10010,10010,02M104,195,195,50,2015,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M347,5,5,5,2015,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M413,49,49,14,2015,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M104,408,251,83,2016,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M347,7,5,5,2016,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M413,89,30,6,2016,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M104,386,260,53,2017,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M347,9,5,5,2017,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M413,103,46,15,2017,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M104,384,226,48,2019,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M347,12,5,5,2019,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M413,96,23,6,2019,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M104,344,196,45,2020,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M347,15,6,5,2020,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10010,10010,02M413,93,32,5,2020,MANHATTAN,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10011,10011,02M312,162,162,108,2015,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10011,10011,02M422,51,51,17,2015,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10011,10011,02M312,174,150,112,2016,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10011,10011,02M422,89,35,7,2016,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10011,10011,02M312,181,163,113,2017,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10011,10011,02M422,96,33,5,2017,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10011,10011,02M312,186,163,113,2019,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10011,10011,02M422,58,13,5,2019,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10011,10011,02M312,179,169,117,2020,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10011,10011,02M422,46,7,5,2020,MANHATTAN,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10012,10012,NA,NA,NA,NA,NA,NA,NA,56.2,NA,NA,0,0,0,0,0,NA,14.05
10013,10013,NA,NA,NA,NA,NA,NA,NA,48.6,NA,NA,0,0,NA,NA,NA,NA,16.2
10014,10014,02M297,236,75,6,2019,MANHATTAN,16.5,62.6,NA,NA,NA,0,0,0,0,NA,19.775
10014,10014,02M297,297,99,28,2020,MANHATTAN,16.5,62.6,NA,NA,NA,0,0,0,0,NA,19.775
10016,10016,NA,NA,NA,NA,NA,NA,19.6,68.7,NA,NA,0,NA,0,NA,NA,NA,22.075000000000003
10017,10017,NA,NA,NA,NA,NA,NA,NA,64,NA,0,NA,NA,0,NA,0,NA,21.333333333333332
10018,10018,NA,NA,NA,NA,NA,NA,NA,42.4,0,0,NA,NA,0,NA,0,0,10.6
10019,10019,NA,NA,NA,NA,NA,NA,NA,96.5,NA,NA,NA,0,NA,NA,0,NA,48.25
10020,10019,NA,NA,NA,NA,NA,NA,NA,96.5,NA,NA,NA,0,NA,NA,0,NA,48.25
10021,10021,02M167,283,283,78,2015,MANHATTAN,24,104.6,26.2,NA,0,NA,0,NA,NA,NA,30.959999999999997
10021,10021,02M167,437,228,68,2016,MANHATTAN,24,104.6,26.2,NA,0,NA,0,NA,NA,NA,30.959999999999997
10021,10021,02M167,430,258,77,2017,MANHATTAN,24,104.6,26.2,NA,0,NA,0,NA,NA,NA,30.959999999999997
10021,10021,02M167,454,266,73,2019,MANHATTAN,24,104.6,26.2,NA,0,NA,0,NA,NA,NA,30.959999999999997
10021,10021,02M167,420,227,73,2020,MANHATTAN,24,104.6,26.2,NA,0,NA,0,NA,NA,NA,30.959999999999997
10022,10022,NA,NA,NA,NA,NA,NA,NA,71.2,29.1,NA,0,0,NA,0,NA,NA,25.075000000000003
10023,10023,03M191,5,5,5,2015,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M291,5,5,5,2015,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M859,12,12,5,2015,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M191,49,6,5,2016,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M859,14,5,5,2016,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M191,35,6,5,2017,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M291,133,31,6,2017,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M859,16,10,7,2017,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10023,10023,03M191,56,14,5,2019,MANHATTAN,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
