zip,modzcta,dbn,n_hs_applicants,n_testers,n_offers,year,borough,positive,total,modzcta_cum_perc_pos
10010,10010,02M104,408,251,83,2016,MANHATTAN,267,2771,9.6
10010,10010,02M347,7,5,5,2016,MANHATTAN,267,2771,9.6
10010,10010,02M413,89,30,6,2016,MANHATTAN,267,2771,9.6
10010,10010,02M104,386,260,53,2017,MANHATTAN,267,2771,9.6
10010,10010,02M347,9,5,5,2017,MANHATTAN,267,2771,9.6
10010,10010,02M413,103,46,15,2017,MANHATTAN,267,2771,9.6
10010,10010,02M104,384,226,48,2019,MANHATTAN,267,2771,9.6
10010,10010,02M347,12,5,5,2019,MANHATTAN,267,2771,9.6
10010,10010,02M413,96,23,6,2019,MANHATTAN,267,2771,9.6
10010,10010,02M104,344,196,45,2020,MANHATTAN,267,2771,9.6
10010,10010,02M347,15,6,5,2020,MANHATTAN,267,2771,9.6
10010,10010,02M413,93,32,5,2020,MANHATTAN,267,2771,9.6
10011,10011,02M312,162,162,108,2015,MANHATTAN,521,3829,13.6
10011,10011,02M422,51,51,17,2015,MANHATTAN,521,3829,13.6
10011,10011,02M312,174,150,112,2016,MANHATTAN,521,3829,13.6
10011,10011,02M422,89,35,7,2016,MANHATTAN,521,3829,13.6
10011,10011,02M312,181,163,113,2017,MANHATTAN,521,3829,13.6
10011,10011,02M422,96,33,5,2017,MANHATTAN,521,3829,13.6
10011,10011,02M312,186,163,113,2019,MANHATTAN,521,3829,13.6
10011,10011,02M422,58,13,5,2019,MANHATTAN,521,3829,13.6
10011,10011,02M312,179,169,117,2020,MANHATTAN,521,3829,13.6
10011,10011,02M422,46,7,5,2020,MANHATTAN,521,3829,13.6
10012,10012,NA,NA,NA,NA,NA,NA,162,1412,11.5
10013,10013,NA,NA,NA,NA,NA,NA,261,1999,13.1
10014,10014,02M297,236,75,6,2019,MANHATTAN,299,2369,12.6
10014,10014,02M297,297,99,28,2020,MANHATTAN,299,2369,12.6
10016,10016,NA,NA,NA,NA,NA,NA,686,5063,13.5
10017,10017,NA,NA,NA,NA,NA,NA,143,1293,11.1
10018,10018,NA,NA,NA,NA,NA,NA,204,1247,16.4
10019,10019,NA,NA,NA,NA,NA,NA,598,4008,14.9
10020,10019,NA,NA,NA,NA,NA,NA,598,4008,14.9
10021,10021,02M167,283,283,78,2015,MANHATTAN,561,4291,13.1
10021,10021,02M167,437,228,68,2016,MANHATTAN,561,4291,13.1
10021,10021,02M167,430,258,77,2017,MANHATTAN,561,4291,13.1
10021,10021,02M167,454,266,73,2019,MANHATTAN,561,4291,13.1
10021,10021,02M167,420,227,73,2020,MANHATTAN,561,4291,13.1
10022,10022,NA,NA,NA,NA,NA,NA,338,2804,12.1
10023,10023,03M191,5,5,5,2015,MANHATTAN,558,4722,11.8
10023,10023,03M291,5,5,5,2015,MANHATTAN,558,4722,11.8
10023,10023,03M859,12,12,5,2015,MANHATTAN,558,4722,11.8
10023,10023,03M191,49,6,5,2016,MANHATTAN,558,4722,11.8
10023,10023,03M859,14,5,5,2016,MANHATTAN,558,4722,11.8
10023,10023,03M191,35,6,5,2017,MANHATTAN,558,4722,11.8
10023,10023,03M291,133,31,6,2017,MANHATTAN,558,4722,11.8
10023,10023,03M859,16,10,7,2017,MANHATTAN,558,4722,11.8
10023,10023,03M191,56,14,5,2019,MANHATTAN,558,4722,11.8
10023,10023,03M291,108,55,19,2019,MANHATTAN,558,4722,11.8
10023,10023,03M859,18,5,5,2019,MANHATTAN,558,4722,11.8
10023,10023,03M191,68,10,5,2020,MANHATTAN,558,4722,11.8
10023,10023,03M291,105,29,12,2020,MANHATTAN,558,4722,11.8
10023,10023,03M859,12,7,5,2020,MANHATTAN,558,4722,11.8
10024,10024,03M243,42,42,20,2015,MANHATTAN,691,4880,14.2
10024,10024,03M245,69,69,19,2015,MANHATTAN,691,4880,14.2
10024,10024,03M334,61,61,54,2015,MANHATTAN,691,4880,14.2
10024,10024,03M243,58,48,20,2016,MANHATTAN,691,4880,14.2
10024,10024,03M245,130,57,17,2016,MANHATTAN,691,4880,14.2
10024,10024,03M334,74,67,51,2016,MANHATTAN,691,4880,14.2
10024,10024,03M243,57,38,14,2017,MANHATTAN,691,4880,14.2
10024,10024,03M245,133,70,19,2017,MANHATTAN,691,4880,14.2
10024,10024,03M334,76,75,58,2017,MANHATTAN,691,4880,14.2
10024,10024,03M243,60,41,12,2019,MANHATTAN,691,4880,14.2
10024,10024,03M245,139,65,17,2019,MANHATTAN,691,4880,14.2
10024,10024,03M334,61,55,33,2019,MANHATTAN,691,4880,14.2
10024,10024,03M243,59,32,14,2020,MANHATTAN,691,4880,14.2
10024,10024,03M245,123,62,14,2020,MANHATTAN,691,4880,14.2
10024,10024,03M334,60,55,45,2020,MANHATTAN,691,4880,14.2
