date,zcta,deathrate
10/2020,10006,NA
10/2020,10007,NA
10/2020,10009,0
10/2020,10010,0
10/2020,10011,0
10/2020,10012,0
10/2020,10013,NA
10/2020,10014,0
10/2020,10016,NA
10/2020,10017,NA
10/2020,10018,NA
10/2020,10019,NA
10/2020,10021,NA
10/2020,10022,0
10/2020,10023,NA
10/2020,10024,0
10/2020,10025,NA
10/2020,10026,NA
10/2020,10027,NA
10/2020,10028,0
10/2020,10029,NA
10/2020,10030,0
10/2020,10031,NA
10/2020,10032,0
10/2020,10033,NA
10/2020,10034,0
10/2020,10035,0
10/2020,10036,0
10/2020,10037,NA
10/2020,10038,0
10/2020,10039,0
10/2020,10040,NA
10/2020,10044,0
10/2020,10065,0
10/2020,10069,NA
10/2020,10075,NA
10/2020,10128,NA
10/2020,10280,NA
10/2020,10282,NA
10/2020,10301,NA
10/2020,10302,0
10/2020,10303,NA
10/2020,10304,0
10/2020,10305,0
10/2020,10306,NA
10/2020,10307,0
10/2020,10308,NA
10/2020,10309,NA
10/2020,10310,NA
10/2020,10312,NA
10/2020,10314,NA
10/2020,10451,NA
10/2020,10452,0
10/2020,10453,NA
10/2020,10454,0
10/2020,10455,0
10/2020,10456,NA
10/2020,10457,0
10/2020,10458,NA
10/2020,10459,0
10/2020,10460,0
10/2020,10461,0
10/2020,10462,NA
10/2020,10463,NA
10/2020,10464,NA
10/2020,10465,NA
10/2020,10466,NA
10/2020,10467,0
10/2020,10468,0
10/2020,10469,NA
10/2020,10470,NA
10/2020,10471,0
10/2020,10472,NA
10/2020,10473,NA
10/2020,10474,0
10/2020,10475,NA
10/2020,11004,0
10/2020,11101,0
10/2020,11102,NA
10/2020,11103,NA
10/2020,11104,0
10/2020,11105,0
10/2020,11106,NA
10/2020,11109,NA
10/2020,11201,NA
10/2020,11203,NA
10/2020,11204,7.8
10/2020,11205,0
10/2020,11206,NA
10/2020,11207,0
10/2020,11208,NA
10/2020,11209,NA
10/2020,11210,NA
10/2020,11211,NA
10/2020,11212,NA
10/2020,11213,NA
10/2020,11214,NA
10/2020,11215,NA
10/2020,11216,0
10/2020,11217,NA
10/2020,11218,NA
10/2020,11219,NA
10/2020,11220,NA
10/2020,11221,NA
10/2020,11222,NA
10/2020,11223,0
10/2020,11224,NA
10/2020,11225,NA
10/2020,11226,NA
10/2020,11228,NA
10/2020,11229,6
10/2020,11230,7.9
10/2020,11231,0
10/2020,11232,NA
10/2020,11233,NA
10/2020,11234,NA
10/2020,11235,NA
10/2020,11236,5.1
10/2020,11237,0
10/2020,11238,0
10/2020,11239,NA
10/2020,11354,NA
10/2020,11355,NA
10/2020,11356,0
10/2020,11357,0
10/2020,11358,0
10/2020,11360,0
10/2020,11361,NA
10/2020,11362,0
10/2020,11363,NA
10/2020,11364,0
10/2020,11365,NA
10/2020,11366,NA
10/2020,11367,0
10/2020,11368,NA
10/2020,11369,0
10/2020,11370,0
10/2020,11372,NA
10/2020,11373,NA
10/2020,11374,NA
10/2020,11375,0
10/2020,11377,0
10/2020,11378,0
10/2020,11379,NA
10/2020,11385,NA
10/2020,11411,NA
10/2020,11412,NA
10/2020,11413,NA
10/2020,11414,0
10/2020,11415,0
10/2020,11416,NA
10/2020,11417,NA
10/2020,11418,0
10/2020,11419,0
10/2020,11420,NA
10/2020,11421,0
10/2020,11422,0
10/2020,11423,0
10/2020,11426,0
10/2020,11427,0
10/2020,11428,NA
10/2020,11429,NA
10/2020,11432,NA
10/2020,11433,NA
10/2020,11434,NA
10/2020,11435,0
10/2020,11436,NA
10/2020,11691,NA
10/2020,11692,NA
10/2020,11693,NA
10/2020,11694,NA
10/2020,11697,NA
11/2020,10001,NA
11/2020,10002,NA
11/2020,10003,NA
11/2020,10004,0
11/2020,10005,0
11/2020,10006,NA
11/2020,10007,NA
11/2020,10009,0
11/2020,10010,NA
11/2020,10011,NA
11/2020,10012,0
11/2020,10013,NA
11/2020,10014,0
11/2020,10016,NA
11/2020,10017,0
11/2020,10018,0
11/2020,10019,0
11/2020,10021,NA
11/2020,10022,NA
11/2020,10023,0
11/2020,10024,NA
11/2020,10025,5.5
11/2020,10026,NA
11/2020,10027,NA
11/2020,10028,0
11/2020,10029,6.4
11/2020,10030,NA
11/2020,10031,NA
11/2020,10032,NA
11/2020,10033,NA
11/2020,10034,0
11/2020,10035,NA
11/2020,10036,0
11/2020,10037,NA
11/2020,10038,NA
11/2020,10039,0
11/2020,10040,NA
11/2020,10044,0
11/2020,10065,0
11/2020,10069,0
11/2020,10075,0
11/2020,10128,0
11/2020,10280,NA
11/2020,10282,NA
11/2020,10301,NA
11/2020,10302,NA
11/2020,10303,NA
11/2020,10304,NA
11/2020,10305,NA
11/2020,10306,37.9
11/2020,10307,0
11/2020,10308,NA
11/2020,10309,NA
11/2020,10310,NA
11/2020,10312,8.2
11/2020,10314,6.5
11/2020,10451,NA
11/2020,10452,NA
11/2020,10453,NA
11/2020,10454,NA
11/2020,10455,NA
11/2020,10456,NA
11/2020,10457,8.1
11/2020,10458,NA
11/2020,10459,NA
11/2020,10460,NA
11/2020,10461,0
11/2020,10462,NA
11/2020,10463,NA
11/2020,10464,0
11/2020,10465,NA
11/2020,10466,NA
11/2020,10467,NA
11/2020,10468,NA
11/2020,10469,NA
11/2020,10470,0
11/2020,10471,NA
11/2020,10472,NA
11/2020,10473,NA
11/2020,10474,0
11/2020,10475,NA
11/2020,11004,0
11/2020,11101,NA
11/2020,11102,0
11/2020,11103,NA
11/2020,11104,NA
11/2020,11105,NA
11/2020,11106,NA
11/2020,11109,NA
11/2020,11201,NA
11/2020,11203,NA
11/2020,11204,NA
11/2020,11205,0
11/2020,11206,NA
11/2020,11207,5.6
11/2020,11208,6.3
11/2020,11209,0
11/2020,11210,NA
11/2020,11211,4.9
11/2020,11212,NA
11/2020,11213,NA
11/2020,11214,14
11/2020,11215,NA
11/2020,11216,NA
11/2020,11217,NA
11/2020,11218,NA
11/2020,11219,8.9
11/2020,11220,NA
11/2020,11221,NA
11/2020,11222,0
11/2020,11223,8.6
11/2020,11224,NA
11/2020,11225,NA
11/2020,11226,NA
11/2020,11228,NA
11/2020,11229,NA
11/2020,11230,10.1
11/2020,11231,NA
11/2020,11232,0
11/2020,11233,8.1
11/2020,11234,NA
11/2020,11235,12.8
11/2020,11236,NA
11/2020,11237,0
11/2020,11238,NA
11/2020,11239,46.1
11/2020,11354,11.1
11/2020,11355,NA
11/2020,11356,0
11/2020,11357,NA
11/2020,11358,NA
11/2020,11360,0
11/2020,11361,0
11/2020,11362,0
11/2020,11363,0
11/2020,11364,0
11/2020,11365,0
11/2020,11366,0
11/2020,11367,NA
11/2020,11368,NA
11/2020,11369,NA
11/2020,11370,NA
11/2020,11372,8.2
11/2020,11373,NA
11/2020,11374,NA
11/2020,11375,7
11/2020,11377,NA
11/2020,11378,NA
11/2020,11379,13.6
11/2020,11385,NA
11/2020,11411,0
11/2020,11412,NA
11/2020,11413,0
11/2020,11414,0
11/2020,11415,0
11/2020,11416,NA
11/2020,11417,NA
11/2020,11418,0
11/2020,11419,NA
11/2020,11420,0
11/2020,11421,0
11/2020,11422,NA
11/2020,11423,NA
11/2020,11426,0
11/2020,11427,NA
11/2020,11428,0
11/2020,11429,0
11/2020,11432,NA
11/2020,11433,0
11/2020,11434,NA
11/2020,11435,12
11/2020,11436,NA
11/2020,11691,NA
11/2020,11692,0
11/2020,11693,0
11/2020,11694,0
11/2020,11697,0
12/2020,10001,NA
12/2020,10002,14.6
12/2020,10003,NA
12/2020,10004,0
12/2020,10005,NA
12/2020,10006,NA
12/2020,10007,0
12/2020,10009,12.2
12/2020,10010,NA
12/2020,10011,0
12/2020,10012,NA
12/2020,10013,NA
12/2020,10014,NA
12/2020,10016,NA
12/2020,10017,NA
12/2020,10018,0
12/2020,10019,NA
12/2020,10021,NA
12/2020,10022,NA
12/2020,10023,NA
12/2020,10024,NA
12/2020,10025,13.1
12/2020,10026,NA
12/2020,10027,NA
12/2020,10028,NA
12/2020,10029,14.1
12/2020,10030,NA
12/2020,10031,20.3
12/2020,10032,17.4
12/2020,10033,10.3
12/2020,10034,NA
12/2020,10035,14.2
12/2020,10036,NA
12/2020,10037,24
12/2020,10038,NA
12/2020,10039,25.8
12/2020,10040,13.6
12/2020,10044,0
12/2020,10065,NA
12/2020,10069,0
12/2020,10075,NA
12/2020,10128,NA
12/2020,10280,0
12/2020,10282,0
12/2020,10301,30.8
12/2020,10302,37.9
12/2020,10303,18.9
12/2020,10304,47.7
12/2020,10305,18.7
12/2020,10306,87.1
12/2020,10307,NA
12/2020,10308,33.5
12/2020,10309,27.3
12/2020,10310,NA
12/2020,10312,9.8
12/2020,10314,44.3
12/2020,10451,NA
12/2020,10452,9.3
12/2020,10453,10.2
12/2020,10454,15.9
12/2020,10455,NA
12/2020,10456,7.5
12/2020,10457,NA
12/2020,10458,12.1
12/2020,10459,NA
12/2020,10460,11.9
12/2020,10461,16.3
12/2020,10462,13.3
12/2020,10463,24.3
12/2020,10464,NA
12/2020,10465,NA
12/2020,10466,NA
12/2020,10467,8.8
12/2020,10468,12.9
12/2020,10469,16.5
12/2020,10470,NA
12/2020,10471,NA
12/2020,10472,13.2
12/2020,10473,16.9
12/2020,10474,0
12/2020,10475,11.7
12/2020,11004,26.4
12/2020,11101,NA
12/2020,11102,26.6
12/2020,11103,NA
12/2020,11104,NA
12/2020,11105,NA
12/2020,11106,NA
12/2020,11109,0
12/2020,11201,NA
12/2020,11203,13.6
12/2020,11204,15.6
12/2020,11205,11
12/2020,11206,6.9
12/2020,11207,11.2
12/2020,11208,19.9
12/2020,11209,13.3
12/2020,11210,7.6
12/2020,11211,5.9
12/2020,11212,18.9
12/2020,11213,9.3
12/2020,11214,23.7
12/2020,11215,7.2
12/2020,11216,12.8
12/2020,11217,NA
12/2020,11218,9.5
12/2020,11219,NA
12/2020,11220,14.8
12/2020,11221,11.1
12/2020,11222,NA
12/2020,11223,16
12/2020,11224,30.3
12/2020,11225,NA
12/2020,11226,14.4
12/2020,11228,NA
12/2020,11229,14.4
12/2020,11230,16.9
12/2020,11231,NA
12/2020,11232,NA
12/2020,11233,17.5
12/2020,11234,10.6
12/2020,11235,21.7
12/2020,11236,10.3
12/2020,11237,NA
12/2020,11238,NA
12/2020,11239,NA
12/2020,11354,22.3
12/2020,11355,16.5
12/2020,11356,NA
12/2020,11357,NA
12/2020,11358,NA
12/2020,11360,NA
12/2020,11361,NA
12/2020,11362,NA
12/2020,11363,0
12/2020,11364,NA
12/2020,11365,13.7
12/2020,11366,NA
12/2020,11367,NA
12/2020,11368,12.7
12/2020,11369,NA
12/2020,11370,NA
12/2020,11372,19.8
12/2020,11373,9.8
12/2020,11374,24.2
12/2020,11375,18.2
12/2020,11377,14.3
12/2020,11378,NA
12/2020,11379,NA
12/2020,11385,4.8
12/2020,11411,NA
12/2020,11412,NA
12/2020,11413,NA
12/2020,11414,21.2
12/2020,11415,NA
12/2020,11416,18.9
12/2020,11417,NA
12/2020,11418,16
12/2020,11419,12.4
12/2020,11420,12.5
12/2020,11421,15
12/2020,11422,NA
12/2020,11423,19.3
12/2020,11426,NA
12/2020,11427,NA
12/2020,11428,NA
12/2020,11429,18
12/2020,11432,21.4
12/2020,11433,16.4
12/2020,11434,15
12/2020,11435,NA
12/2020,11436,NA
12/2020,11691,10.5
12/2020,11692,NA
12/2020,11693,NA
12/2020,11694,NA
12/2020,11697,0
