date,zcta,deathrate
4/2020,11209,130.3
4/2020,11210,214.7
4/2020,11211,116.1
4/2020,11212,293.4
4/2020,11213,244.6
4/2020,11214,191.8
4/2020,11215,61.8
4/2020,11216,127.7
4/2020,11217,195.7
4/2020,11218,179.7
4/2020,11219,186.5
4/2020,11220,153.3
4/2020,11221,173.1
4/2020,11222,80.3
4/2020,11223,139.9
4/2020,11224,479.8
4/2020,11225,210.4
4/2020,11226,279.4
4/2020,11228,184.5
4/2020,11229,155.6
4/2020,11230,265.5
4/2020,11231,93.6
4/2020,11232,110.8
4/2020,11233,187
4/2020,11234,172.2
4/2020,11235,319.7
4/2020,11236,264.6
4/2020,11237,195.8
4/2020,11238,181.1
4/2020,11239,606.7
4/2020,11354,424.7
4/2020,11355,191.5
4/2020,11356,162.2
4/2020,11357,222.1
4/2020,11358,99.9
4/2020,11360,131.3
4/2020,11361,197.2
4/2020,11362,165.7
4/2020,11363,89.1
4/2020,11364,106.5
4/2020,11365,136.9
4/2020,11366,168.9
4/2020,11367,137.7
4/2020,11368,315.3
4/2020,11369,469.9
4/2020,11370,204.5
4/2020,11372,313.1
4/2020,11373,267.3
4/2020,11374,164.3
4/2020,11375,206.3
4/2020,11377,199.9
4/2020,11378,174.3
4/2020,11379,234.7
4/2020,11385,109.1
4/2020,11411,201.1
4/2020,11412,186.4
4/2020,11413,185.2
4/2020,11414,186.9
4/2020,11415,249
4/2020,11416,174.3
4/2020,11417,125.6
4/2020,11418,191.6
4/2020,11419,173.2
4/2020,11420,169.3
4/2020,11421,219.7
4/2020,11422,166.7
4/2020,11423,350.1
4/2020,11426,128.9
4/2020,11427,135.7
4/2020,11428,258.3
4/2020,11429,201.4
4/2020,11432,312.7
4/2020,11433,230
4/2020,11434,236.7
4/2020,11435,215.7
4/2020,11436,189.6
4/2020,11691,471.2
4/2020,11692,399.4
4/2020,11693,260.4
4/2020,11694,375.4
4/2020,11697,NA
5/2020,10001,21.7
5/2020,10002,41.2
5/2020,10003,11.1
5/2020,10004,0
5/2020,10005,0
5/2020,10006,NA
5/2020,10007,NA
5/2020,10009,31.5
5/2020,10010,NA
5/2020,10011,24.1
5/2020,10012,NA
5/2020,10013,NA
5/2020,10014,NA
5/2020,10016,NA
5/2020,10017,NA
5/2020,10018,0
5/2020,10019,NA
5/2020,10021,26.2
5/2020,10022,29.1
