"","dbn","feeder_school","n_hs_applicants","n_testers","n_offers","year","zip"
"677","13K691","FORT GREENE PREPARATORY ACADEMY",79,14,5,"2016"," 11205"
"678","14K050","J.H.S. 050 JOHN D. WELLS",89,10,5,"2016"," 11211"
"679","14K071","JUAN MOREL CAMPOS SECONDARY SCHOOL",87,7,5,"2016"," 11206"
"680","14K084","P.S. 084 JOSE DE DIEGO",68,22,5,"2016"," 11211"
"681","14K126","JOHN ERICSSON MIDDLE SCHOOL 126",141,28,5,"2016"," 11222"
"682","14K157","P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY",70,15,5,"2016"," 11205"
"683","14K318","I.S. 318 EUGENIO MARIA DE HOSTOS",503,209,28,"2016"," 11206"
"684","14K577","CONSELYEA PREPARATORY SCHOOL",152,102,5,"2016"," 11211"
"685","14K582","M.S. 582",86,15,5,"2016"," 11206"
"686","14K586","LYONS COMMUNITY SCHOOL",51,5,5,"2016"," 11206"
"687","14K614","YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN",42,9,5,"2016"," 11206"
"688","15K051","M.S. 51 WILLIAM ALEXANDER",372,286,118,"2016"," 11215"
"689","15K088","J.H.S. 088 PETER ROUGET",405,146,17,"2016"," 11215"
"690","15K136","I.S. 136 CHARLES O. DEWEY",170,14,5,"2016"," 11232"
"691","15K442","M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION",68,19,5,"2016"," 11231"
"692","15K443","NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS",175,88,14,"2016"," 11215"
"693","15K447","THE MATH & SCIENCE EXPLORATORY SCHOOL",170,126,62,"2016"," 11217"
"694","15K448","BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES",87,10,5,"2016"," 11231"
"695","15K464","PARK SLOPE COLLEGIATE",46,12,5,"2016"," 11215"
"696","15K497","THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES",43,9,5,"2016"," 11201"
"697","15K821","SUNSET PARK PREP",167,70,9,"2016"," 11232"
"698","16K035","M.S. 035 STEPHEN DECATUR",67,22,5,"2016"," 11233"
"699","16K057","J.H.S. 057 WHITELAW REID",68,7,5,"2016"," 11221"
"700","16K267","M.S. 267 MATH, SCIENCE & TECHNOLOGY",61,9,5,"2016"," 11221"
"701","16K308","P.S. 308 CLARA CARDWELL",65,11,5,"2016"," 11221"
"702","16K681","MADIBA PREP MIDDLE SCHOOL",48,9,5,"2016"," 11221"
"703","17K002","PARKSIDE PREPARATORY ACADEMY",174,37,5,"2016"," 11226"
"704","17K061","M.S. 061 DR. GLADSTONE H. ATWELL",319,90,5,"2016"," 11225"
"705","17K138","P.S. 138 BROOKLYN",93,22,5,"2016"," 11216"
"706","17K181","P.S. 181 BROOKLYN",88,18,5,"2016"," 11203"
"707","17K189","P.S. 189 THE BILINGUAL CENTER",141,57,5,"2016"," 11212"
"708","17K246","M.S. 246 WALT WHITMAN",183,39,5,"2016"," 11226"
"709","17K340","I.S. 340",76,51,5,"2016"," 11238"
"710","17K352","EBBETS FIELD MIDDLE SCHOOL",67,6,5,"2016"," 11225"
"711","17K353","ELIJAH STROUD MIDDLE SCHOOL",69,5,5,"2016"," 11238"
"712","17K354","THE SCHOOL OF INTEGRATED LEARNING",102,33,5,"2016"," 11213"
"713","17K382","ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL",53,11,5,"2016"," 11226"
"714","17K394","M.S. K394",57,29,5,"2016"," 11213"
"715","17K484","RONALD EDMONDS LEARNING CENTER II",47,8,5,"2016"," 11233"
"716","17K543","SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",64,19,5,"2016"," 11226"
"717","17K590","MEDGAR EVERS COLLEGE PREPARATORY SCHOOL",95,34,5,"2016"," 11225"
"718","17K722","NEW HEIGHTS MIDDLE SCHOOL",110,13,5,"2016"," 11203"
"719","18K066","P.S. 66",101,24,5,"2016"," 11236"
"720","18K068","I.S. 068 ISAAC BILDERSEE",146,8,5,"2016"," 11236"
"721","18K211","I.S. 211 JOHN WILSON",181,30,5,"2016"," 11236"
"722","18K235","P.S. 235 JANICE MARIE KNIGHT SCHOOL",111,100,7,"2016"," 11236"
"723","18K285","I.S. 285 MEYER LEVIN",235,65,5,"2016"," 11203"
"724","18K366","THE SCIENCE AND MEDICINE MIDDLE SCHOOL",161,61,5,"2016"," 11236"
"725","18K581","EAST FLATBUSH COMMUNITY RESEARCH SCHOOL",45,23,5,"2016"," 11203"
"726","18K588","MIDDLE SCHOOL FOR ART AND PHILOSOPHY",60,12,5,"2016"," 11212"
"727","18K763","BROOKLYN SCIENCE AND ENGINEERING ACADEMY",70,36,5,"2016"," 11203"
"728","19K089","P.S. 089 CYPRESS HILLS",60,10,5,"2016"," 11207"
"729","19K171","I.S. 171 ABRAHAM LINCOLN",157,15,5,"2016"," 11208"
"730","19K218","J.H.S. 218 JAMES P. SINNOTT",144,36,5,"2016"," 11208"
"731","19K292","J.H.S. 292 MARGARET S. DOUGLAS",222,56,6,"2016"," 11207"
"732","19K364","I.S. 364 GATEWAY",99,21,5,"2016"," 11239"
"733","19K404","ACADEMY FOR YOUNG WRITERS",62,8,5,"2016"," 11208"
"734","19K409","EAST NEW YORK FAMILY ACADEMY",75,13,5,"2016"," 11207"
"735","19K422","SPRING CREEK COMMUNITY SCHOOL",71,14,5,"2016"," 11208"
"736","19K452","FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL",96,45,5,"2016"," 11239"
"737","19K654","VAN SICLEN COMMUNITY MIDDLE SCHOOL",121,16,5,"2016"," 11207"
"738","19K661","VISTA ACADEMY",114,17,5,"2016"," 11208"
"739","19K662","LIBERTY AVENUE MIDDLE SCHOOL",157,31,5,"2016"," 11208"
"740","19K663","SCHOOL OF THE FUTURE BROOKLYN",44,16,5,"2016"," 11207"
"741","19K678","EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE",83,18,5,"2016"," 11208"
"742","19K760","HIGHLAND PARK COMMUNITY SCHOOL",101,14,5,"2016"," 11208"
"743","20K030","P.S./I.S. 30 MARY WHITE OVINGTON",134,56,6,"2016"," 11209"
"744","20K062","J.H.S. 062 DITMAS",418,136,8,"2016"," 11218"
"745","20K104","P.S./I.S. 104 THE FORT HAMILTON SCHOOL",168,73,7,"2016"," 11209"
"746","20K163","P.S. 163 BATH BEACH",75,38,5,"2016"," 11214"
"747","20K180","THE SEEALL ACADEMY",170,94,19,"2016"," 11204"
"748","20K187","THE CHRISTA MCAULIFFE SCHOOL\I.S. 187",344,319,268,"2016"," 11219"
"749","20K192","P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY",49,6,5,"2016"," 11204"
"750","20K201","J.H.S. 201 THE DYKER HEIGHTS",498,296,127,"2016"," 11228"
"751","20K220","J.H.S. 220 JOHN J. PERSHING",497,199,27,"2016"," 11220"
"752","20K223","J.H.S. 223 THE MONTAUK",337,132,16,"2016"," 11204"
"753","20K227","J.H.S. 227 EDWARD B. SHALLOW",454,196,22,"2016"," 11204"
"754","20K229","P.S. 229 DYKER",105,58,14,"2016"," 11228"
"755","20K259","J.H.S. 259 WILLIAM MCKINLEY",565,322,83,"2016"," 11228"
"756","20K609","URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE",70,21,5,"2016"," 11204"
"757","20K686","BROOKLYN SCHOOL OF INQUIRY",62,58,42,"2016"," 11204"
"758","21K095","P.S. 095 THE GRAVESEND",40,6,5,"2016"," 11223"
"759","21K096","I.S. 096 SETH LOW",231,70,5,"2016"," 11204"
"760","21K098","I.S. 98 BAY ACADEMY",490,348,114,"2016"," 11235"
"761","21K099","P.S. 099 ISAAC ASIMOV",95,20,5,"2016"," 11230"
"762","21K121","P.S. 121 NELSON A. ROCKEFELLER",29,7,5,"2016"," 11204"
"763","21K209","P.S. 209 MARGARET MEAD",52,20,5,"2016"," 11235"
"764","21K225","P.S. K225 - THE EILEEN E. ZAGLIN",118,21,5,"2016"," 11235"
"765","21K226","P.S. 226 ALFRED DE B.MASON",107,32,5,"2016"," 11204"
"766","21K228","I.S. 228 DAVID A. BOODY",542,209,19,"2016"," 11223"
"767","21K238","P.S. 238 ANNE SULLIVAN",78,14,5,"2016"," 11223"
"768","21K239","MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED",387,280,149,"2016"," 11224"
"769","21K281","I.S. 281 JOSEPH B CAVALLARO",397,150,22,"2016"," 11214"
"770","21K288","P.S. 288 THE SHIRLEY TANYHILL",48,5,5,"2016"," 11224"
"771","21K303","I.S. 303 HERBERT S. EISENBERG",146,36,5,"2016"," 11224"
"772","21K468","KINGSBOROUGH EARLY COLLEGE SCHOOL",79,9,5,"2016"," 11214"
"773","21K690","BROOKLYN STUDIO SECONDARY SCHOOL",85,15,5,"2016"," 11214"
"774","22K014","J.H.S. 014 SHELL BANK",221,45,5,"2016"," 11235"
"775","22K078","J.H.S. 078 ROY H. MANN",211,50,5,"2016"," 11234"
"776","22K109","P.S. 109",78,20,5,"2016"," 11203"
"777","22K206","P.S. 206 JOSEPH F LAMB",122,53,10,"2016"," 11229"
"778","22K207","P.S. 207 ELIZABETH G. LEARY",147,43,5,"2016"," 11234"
"779","22K234","J.H.S. 234 ARTHUR W. CUNNINGHAM",656,396,90,"2016"," 11229"
"780","22K240","ANDRIES HUDDE",301,77,5,"2016"," 11210"
"781","22K278","J.H.S. 278 MARINE PARK",315,129,5,"2016"," 11229"
"782","22K381","I. S. 381",91,27,5,"2016"," 11210"
"783","23K041","P.S. 041 FRANCIS WHITE",48,5,5,"2016"," 11212"
"784","23K137","P.S./I.S. 137 RACHEL JEAN MITCHELL",32,6,5,"2016"," 11233"
"785","23K155","P.S./ I.S. 155 NICHOLAS HERKIMER",42,8,5,"2016"," 11233"
"786","23K178","P.S. 178 SAINT CLAIR MCKELWAY",30,5,5,"2016"," 11233"
"787","23K184","P.S. 184 NEWPORT",45,5,5,"2016"," 11212"
"788","23K323","P.S./I.S. 323",63,7,5,"2016"," 11212"
"789","23K363","BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL",39,5,5,"2016"," 11212"
"790","23K392","I.S. 392",92,68,5,"2016"," 11212"
"791","23K518","KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY)",59,10,5,"2016"," 11212"
"792","23K522","MOTT HALL IV",54,12,5,"2016"," 11233"
"793","23K644","EAGLE ACADEMY FOR YOUNG MEN II",85,30,5,"2016"," 11233"
"794","23K664","BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES)",43,12,5,"2016"," 11233"
"795","23K668","RIVERDALE AVENUE MIDDLE SCHOOL",35,9,5,"2016"," 11212"
"796","23K671","MOTT HALL BRIDGES ACADEMY",63,12,5,"2016"," 11212"
"797","24Q005","I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL",600,265,54,"2016"," 11373"
"798","24Q049","P.S. 049 DOROTHY BONAWIT KOLE",132,50,9,"2016"," 11379"
"799","24Q061","I.S. 061 LEONARDO DA VINCI",756,82,5,"2016"," 11368"
"800","24Q073","I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL",730,357,47,"2016"," 11378"
"801","24Q077","I.S. 077",328,73,5,"2016"," 11385"
"802","24Q087","P.S./I.S. 087 MIDDLE VILLAGE",46,11,5,"2016"," 11379"
"803","24Q093","I.S. 093 RIDGEWOOD",398,74,9,"2016"," 11385"
"804","24Q102","P.S. 102 BAYVIEW",112,63,9,"2016"," 11373"
"805","24Q113","P.S./I.S. 113 ANTHONY J. PRANZO",115,26,5,"2016"," 11385"
"806","24Q119","I.S. 119 THE GLENDALE",232,120,54,"2016"," 11385"
"807","24Q125","I.S. 125 THOM J. MCCANN WOODSIDE",591,293,31,"2016"," 11377"
"808","24Q128","P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",99,36,6,"2016"," 11379"
"809","24Q311","CORONA ARTS AND SCIENCES ACADEMY",120,5,5,"2016"," 11368"
"810","24Q560","ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",31,15,5,"2016"," 11101"
"811","25Q025","I.S. 025 ADRIEN BLOCK",304,119,26,"2016"," 11358"
"812","25Q164","P.S. 164 QUEENS VALLEY",92,40,8,"2016"," 11367"
"813","25Q185","J.H.S. 185 EDWARD BLEEKER",499,257,77,"2016"," 11354"
"814","25Q189","J.H.S. 189 DANIEL CARTER BEARD",230,96,21,"2016"," 11355"
"815","25Q194","J.H.S. 194 WILLIAM CARR",375,142,42,"2016"," 11357"
"816","25Q200","P.S./M.S. 200 - THE POMONOK SCHOOL & STAR ACADEMY",61,15,5,"2016"," 11365"
"817","25Q219","P.S. 219 PAUL KLAPPER",84,25,9,"2016"," 11367"
"818","25Q237","I.S. 237",402,161,70,"2016"," 11355"
"819","25Q250","I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL",132,24,5,"2016"," 11366"
"820","25Q252","QUEENS SCHOOL OF INQUIRY, THE",80,19,5,"2016"," 11366"
"821","25Q281","EAST-WEST SCHOOL OF INTERNATIONAL STUDIES",111,84,16,"2016"," 11355"
"822","25Q285","WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL",71,21,5,"2016"," 11358"
"823","25Q294","BELL ACADEMY",125,61,21,"2016"," 11360"
"824","25Q499","THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",52,40,9,"2016"," 11367"
"825","26Q067","J.H.S. 067 LOUIS PASTEUR",303,221,98,"2016"," 11362"
"826","26Q074","J.H.S. 074 NATHANIEL HAWTHORNE",397,248,108,"2016"," 11364"
"827","26Q158","M.S. 158 MARIE CURIE",337,190,86,"2016"," 11361"
"828","26Q172","IRWIN ALTMAN MIDDLE SCHOOL 172",312,145,14,"2016"," 11004"
"829","26Q178","P.S./I.S. 178 HOLLISWOOD",56,34,7,"2016"," 11423"
"830","26Q216","J.H.S. 216 GEORGE J. RYAN",474,290,91,"2016"," 11365"
"831","26Q266","P.S./I.S. 266",83,35,9,"2016"," 11426"
"832","27Q042","P.S./M.S. 042 R. VERNAM",69,5,5,"2016"," 11692"
"833","27Q043","P.S. 043",80,9,5,"2016"," 11691"
"834","27Q047","P.S. 047 CHRIS GALAS",10,5,5,"2016"," 11693"
"835","27Q053","M.S. 053 BRIAN PICCOLO",132,16,5,"2016"," 11691"
"836","27Q105","P.S. 105 THE BAY SCHOOL",90,13,5,"2016"," 11691"
"837","27Q114","P.S./M.S. 114 BELLE HARBOR",44,5,5,"2016"," 11694"
"838","27Q124","P.S. 124 OSMOND A CHURCH",155,81,6,"2016"," 11420"
"839","27Q137","M.S. 137 AMERICA'S SCHOOL OF HEROES",672,203,28,"2016"," 11417"
"840","27Q146","P.S. 146 HOWARD BEACH",53,13,5,"2016"," 11414"
"841","27Q183","P.S. 183 DR. RICHARD R. GREEN",48,5,5,"2016"," 11693"
"842","27Q202","J.H.S. 202 ROBERT H. GODDARD",378,94,12,"2016"," 11417"
"843","27Q207","P.S. 207 ROCKWOOD PARK",72,7,5,"2016"," 11414"
"844","27Q210","J.H.S. 210 ELIZABETH BLACKWELL",638,159,10,"2016"," 11416"
"845","27Q226","J.H.S. 226 VIRGIL I. GRISSOM",288,60,5,"2016"," 11420"
"846","27Q232","P.S. 232 LINDENWOOD",98,33,5,"2016"," 11414"
"847","27Q262","CHANNEL VIEW SCHOOL FOR RESEARCH",86,17,5,"2016"," 11694"
"848","27Q282","KNOWLEDGE AND POWER PREPARATORY ACADEMY VI",86,25,5,"2016"," 11691"
"849","27Q297","HAWTREE CREEK MIDDLE SCHOOL",164,27,5,"2016"," 11420"
"850","27Q309","ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL",68,5,5,"2016"," 11691"
"851","27Q318","WATERSIDE SCHOOL FOR LEADERSHIP",76,8,5,"2016"," 11694"
"852","27Q319","VILLAGE ACADEMY",103,25,5,"2016"," 11691"
"853","27Q323","SCHOLARS' ACADEMY",264,98,48,"2016"," 11694"
"854","27Q333","GOLDIE MAPLE ACADEMY",43,14,5,"2016"," 11692"
"855","28Q008","J.H.S. 008 RICHARD S. GROSSLEY",134,8,5,"2016"," 11433"
"856","28Q072","CATHERINE & COUNT BASIE MIDDLE SCHOOL 72",194,40,5,"2016"," 11434"
"857","28Q157","J.H.S. 157 STEPHEN A. HALSEY",511,278,48,"2016"," 11374"
"858","28Q167","METROPOLITAN EXPEDITIONARY LEARNING SCHOOL",119,18,5,"2016"," 11375"
"859","28Q190","J.H.S. 190 RUSSELL SAGE",371,170,65,"2016"," 11375"
"860","28Q217","J.H.S. 217 ROBERT A. VAN WYCK",581,160,26,"2016"," 11435"
"861","28Q284","YORK EARLY COLLEGE ACADEMY",92,16,5,"2016"," 11433"
"862","28Q287","THE EMERSON SCHOOL",135,32,5,"2016"," 11433"
"863","28Q310","QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL",87,20,5,"2016"," 11432"
"864","28Q332","REDWOOD MIDDLE SCHOOL",100,25,5,"2016"," 11434"
"865","28Q680","QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL",89,63,28,"2016"," 11432"
"866","28Q896","YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",79,31,5,"2016"," 11432"
"867","29Q059","I.S. 059 SPRINGFIELD GARDENS",182,63,5,"2016"," 11413"
"868","29Q109","JEAN NUZZI INTERMEDIATE SCHOOL",323,90,5,"2016"," 11428"
"869","29Q116","P.S./I.S. 116 WILLIAM C. HUGHLEY",62,5,5,"2016"," 11433"
"870","29Q138","P.S./M.S. 138 SUNRISE",100,15,5,"2016"," 11422"
"871","29Q147","P.S./M.S. 147 RONALD MCNAIR",71,9,5,"2016"," 11411"
"872","29Q192","I.S. 192 THE LINDEN",228,41,5,"2016"," 11412"
"873","29Q208","P.S./I.S. 208",85,30,5,"2016"," 11426"
"874","29Q238","I.S. 238 - SUSAN B. ANTHONY ACADEMY",536,141,8,"2016"," 11423"
"875","29Q259","PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL",82,5,5,"2016"," 11412"
"876","29Q268","P.S./I.S. 268",66,11,5,"2016"," 11433"
"877","29Q270","THE GORDON PARKS SCHOOL",67,33,5,"2016"," 11422"
"878","29Q283","PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL",53,12,5,"2016"," 11413"
"879","29Q289","QUEENS UNITED MIDDLE SCHOOL",74,21,5,"2016"," 11413"
"880","29Q295","P.S./I.S. 295",60,25,5,"2016"," 11428"
"881","29Q327","EAGLE ACADEMY FOR YOUNG MEN III",81,12,5,"2016"," 11434"
"882","29Q355","COLLABORATIVE ARTS MIDDLE SCHOOL",139,16,5,"2016"," 11413"
"883","29Q356","COMMUNITY VOICES MIDDLE SCHOOL",120,10,5,"2016"," 11413"
"884","30Q010","I.S. 010 HORACE GREELEY",302,84,7,"2016"," 11103"
"885","30Q078","P.S./I.S. 78Q",35,20,5,"2016"," 11109"
"886","30Q111","P.S. 111 JACOB BLACKWELL",33,11,5,"2016"," 11101"
"887","30Q122","P.S. 122 MAMIE FAY",81,78,49,"2016"," 11105"
"888","30Q126","ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS",186,69,21,"2016"," 11106"
"889","30Q127","P.S. 127 AEROSPACE SCIENCE MAGNET SCHOOL",116,15,5,"2016"," 11369"
"890","30Q141","I.S. 141 THE STEINWAY",402,168,31,"2016"," 11105"
"891","30Q145","I.S. 145 JOSEPH PULITZER",703,177,6,"2016"," 11372"
"892","30Q204","I.S. 204 OLIVER W. HOLMES",165,37,6,"2016"," 11106"
"893","30Q227","I.S. 227 LOUIS ARMSTRONG",456,202,19,"2016"," 11369"
"894","30Q230","I.S. 230",439,203,39,"2016"," 11372"
"895","30Q235","ACADEMY FOR NEW AMERICANS",76,5,5,"2016"," 11102"
"896","30Q286","YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",82,25,5,"2016"," 11102"
"897","30Q291","HUNTERS POINT COMMUNITY MIDDLE SCHOOL",132,55,5,"2016"," 11101"
"898","30Q300","THE 30TH AVENUE SCHOOL (G&T CITYWIDE)",25,25,17,"2016"," 11106"
"899","30Q580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",105,79,56,"2016"," 11106"
"900","31R002","I.S. R002 GEORGE L. EGBERT",291,80,8,"2016"," 10306"
"901","31R007","I.S. 007 ELIAS BERNSTEIN",398,126,20,"2016"," 10312"
"902","31R024","I.S. 024 MYRA S. BARNES",459,160,22,"2016"," 10308"
"903","31R027","I.S. 027 ANNING S. PRALL",357,99,24,"2016"," 10310"
"904","31R028","THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND",58,11,5,"2016"," 10304"
"905","31R034","I.S. 034 TOTTENVILLE",390,91,14,"2016"," 10307"
"906","31R048","P.S. 048 WILLIAM G. WILCOX",97,47,6,"2016"," 10304"
"907","31R049","I.S. 49 BERTA A. DREYFUS",255,43,5,"2016"," 10304"
"908","31R051","I.S. 051 EDWIN MARKHAM",403,129,8,"2016"," 10302"
"909","31R061","I.S. 061 WILLIAM A MORRIS",396,66,5,"2016"," 10301"
"910","31R063","MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING",140,49,7,"2016"," 10314"
"911","31R072","I.S. 072 ROCCO LAURIE",448,137,18,"2016"," 10314"
"912","31R075","I.S. 075 FRANK D. PAULO",506,157,52,"2016"," 10312"
"913","31R080","THE MICHAEL J. PETRIDES SCHOOL",91,24,5,"2016"," 10301"
"914","31R861","STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP",98,33,5,"2016"," 10314"
"915","32K045","P.S./I.S. 045 HORACE E. GREENE",69,17,5,"2016"," 11207"
"916","32K162","J.H.S. 162 THE WILLOUGHBY",137,16,5,"2016"," 11237"
"917","32K291","J.H.S. 291 ROLAND HAYES",104,10,5,"2016"," 11221"
"918","32K347","I.S. 347 SCHOOL OF HUMANITIES",88,5,5,"2016"," 11221"
"919","32K349","I.S. 349 MATH, SCIENCE & TECH.",100,19,5,"2016"," 11221"
"920","32K383","J.H.S. 383 PHILIPPA SCHUYLER",293,220,11,"2016"," 11237"
"921","32K384","P.S./I.S. 384 FRANCES E. CARTER",68,9,5,"2016"," 11207"
"922","32K554","ALL CITY LEADERSHIP SECONDARY SCHOOL",62,18,5,"2016"," 11237"
"923","32K562","EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION",97,9,5,"2016"," 11207"
"924","01M034","P.S. 034 FRANKLIN D. ROOSEVELT",58,6,5,"2017"," 10009"
"925","01M140","P.S. 140 NATHAN STRAUS",67,6,5,"2017"," 10002"
"926","01M184","P.S. 184M SHUANG WEN",88,67,23,"2017"," 10002"
"927","01M188","P.S. 188 THE ISLAND SCHOOL",59,5,5,"2017"," 10002"
"928","01M332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL",68,13,5,"2017"," 10002"
"929","01M378","SCHOOL FOR GLOBAL LEADERS",96,19,5,"2017"," 10002"
"930","01M450","EAST SIDE COMMUNITY SCHOOL",94,16,5,"2017"," 10009"
"931","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",136,126,91,"2017"," 10002"
"932","01M839","TOMPKINS SQUARE MIDDLE SCHOOL",126,66,14,"2017"," 10009"
"933","02M104","J.H.S. 104 SIMON BARUCH",386,260,53,"2017"," 10010"
"934","02M114","EAST SIDE MIDDLE SCHOOL",152,124,75,"2017"," 10128"
"935","02M126","P.S. 126 JACOB AUGUST RIIS",112,66,18,"2017"," 10038"
"936","02M131","M.S. 131",138,54,7,"2017"," 10002"
"937","02M167","J.H.S. 167 ROBERT F. WAGNER",430,258,77,"2017"," 10021"
"938","02M177","YORKVILLE EAST MIDDLE SCHOOL",82,42,5,"2017"," 10075"
"939","02M217","P.S./I.S. 217 ROOSEVELT ISLAND",21,6,5,"2017"," 10044"
"940","02M225","ELLA BAKER SCHOOL",21,5,5,"2017"," 10065"
"941","02M255","M.S. 255 SALK SCHOOL OF SCIENCE",131,108,70,"2017"," 10003"
"942","02M260","M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS",96,36,17,"2017"," 10003"
"943","02M276","BATTERY PARK CITY SCHOOL",84,56,22,"2017"," 10280"
"944","02M289","I.S. 289",91,47,5,"2017"," 10282"
"945","02M312","NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES",181,163,113,"2017"," 10011"
"946","02M347","THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL",9,5,5,"2017"," 10010"
"947","02M397","SPRUCE STREET SCHOOL",56,36,10,"2017"," 10038"
"948","02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",75,21,8,"2017"," 10003"
"949","02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",33,9,5,"2017"," 10036"
"950","02M413","SCHOOL OF THE FUTURE HIGH SCHOOL",103,46,15,"2017"," 10010"
"951","02M422","QUEST TO LEARN",96,33,5,"2017"," 10011"
"952","02M442","BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",25,15,5,"2017"," 10003"
"953","02M896","LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL",129,70,8,"2017"," 10004"
"954","02M933","CITY KNOLL MIDDLE SCHOOL",78,17,5,"2017"," 10001"
"955","03M054","J.H.S. 054 BOOKER T. WASHINGTON",286,257,150,"2017"," 10025"
"956","03M076","P.S. 076 A. PHILIP RANDOLPH",59,5,5,"2017"," 10027"
"957","03M149","P.S. 149 SOJOURNER TRUTH",27,5,5,"2017"," 10026"
"958","03M180","P.S. 180 HUGO NEWMAN",60,22,5,"2017"," 10027"
"959","03M191","THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS",35,6,5,"2017"," 10023"
"960","03M243","M.S. 243 CENTER SCHOOL",57,38,14,"2017"," 10024"
"961","03M245","M.S. M245 THE COMPUTER SCHOOL",133,70,19,"2017"," 10024"
"962","03M247","M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL",64,12,5,"2017"," 10025"
"963","03M250","M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL",60,5,5,"2017"," 10025"
"964","03M256","LAFAYETTE ACADEMY",48,11,5,"2017"," 10025"
"965","03M258","COMMUNITY ACTION SCHOOL - MS 258",59,11,5,"2017"," 10025"
"966","03M291","WEST END SECONDARY SCHOOL",133,31,6,"2017"," 10023"
"967","03M333","P.S. 333 MANHATTAN SCHOOL FOR CHILDREN",50,15,5,"2017"," 10025"
"968","03M334","THE ANDERSON SCHOOL",76,75,58,"2017"," 10024"
"969","03M415","WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS",16,5,5,"2017"," 10026"
"970","03M421","WEST PREP ACADEMY",74,21,5,"2017"," 10025"
"971","03M859","SPECIAL MUSIC SCHOOL",16,10,7,"2017"," 10023"
"972","03M860","FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL",9,5,5,"2017"," 10026"
"973","03M862","MOTT HALL II",122,64,12,"2017"," 10025"
"974","04M007","P.S. 007 SAMUEL STERN",51,5,5,"2017"," 10035"
"975","04M012","TAG YOUNG SCHOLARS",56,54,27,"2017"," 10029"
"976","04M057","JAMES WELDON JOHNSON",99,20,5,"2017"," 10029"
"977","04M072","THE LEXINGTON ACADEMY",83,11,5,"2017"," 10029"
"978","04M096","P.S. 096 JOSEPH LANZETTA",65,5,5,"2017"," 10035"
