"","dbn","feeder_school","n_hs_applicants","n_testers","n_offers","year","zip"
"69","05M161","P.S. 161 PEDRO ALBIZU CAMPOS",22,22,5,"2015"," 10027"
"70","05M286","URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS",6,6,5,"2015"," 10027"
"71","05M362","COLUMBIA SECONDARY SCHOOL",38,38,19,"2015"," 10027"
"72","05M499","FREDERICK DOUGLASS ACADEMY",11,11,5,"2015"," 10039"
"73","05M514","NEW DESIGN MIDDLE SCHOOL",10,10,5,"2015"," 10027"
"74","05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",10,10,5,"2015"," 10030"
"75","06M018","P.S. 018 PARK TERRACE",7,7,5,"2015"," 10034"
"76","06M052","J.H.S. 052 INWOOD",14,14,5,"2015"," 10034"
"77","06M143","J.H.S. 143 ELEANOR ROOSEVELT",8,8,5,"2015"," 10033"
"78","06M187","P.S./I.S. 187 HUDSON CLIFFS",38,38,7,"2015"," 10040"
"79","06M209","HAMILTON GRANGE MIDDLE SCHOOL",5,5,5,"2015"," 10031"
"80","06M210","P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP",8,8,5,"2015"," 10031"
"81","06M223","THE MOTT HALL SCHOOL",75,75,5,"2015"," 10027"
"82","06M278","PAULA HEDBAVNY SCHOOL",21,21,5,"2015"," 10034"
"83","06M293","CITY COLLEGE ACADEMY OF THE ARTS",16,16,5,"2015"," 10040"
"84","06M311","AMISTAD DUAL LANGUAGE SCHOOL",18,18,5,"2015"," 10034"
"85","06M319","M.S. 319 - MARIA TERESA",18,18,5,"2015"," 10032"
"86","06M322","MIDDLE SCHOOL 322",5,5,5,"2015"," 10040"
"87","06M324","M.S. 324 - PATRIA MIRABAL",26,26,5,"2015"," 10032"
"88","06M328","COMMUNITY MATH & SCIENCE PREP",7,7,5,"2015"," 10032"
"89","06M346","COMMUNITY HEALTH ACADEMY OF THE HEIGHTS",5,5,5,"2015"," 10032"
"90","06M348","WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",5,5,5,"2015"," 10033"
"91","06M349","HARBOR HEIGHTS",5,5,5,"2015"," 10033"
"92","06M366","WASHINGTON HEIGHTS ACADEMY",5,5,5,"2015"," 10034"
"93","06M528","I.S. 528 BEA FULLER RODGERS SCHOOL",7,7,5,"2015"," 10033"
"94","07X005","P.S. 5 PORT MORRIS",5,5,5,"2015"," 10455"
"95","07X029","P.S./M.S. 029 MELROSE SCHOOL",16,16,5,"2015"," 10451"
"96","07X031","P.S./M.S. 031 THE WILLIAM LLOYD GARRISON",8,8,5,"2015"," 10451"
"97","07X151","J.H.S. 151 LOU GEHRIG",11,11,5,"2015"," 10451"
"98","07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",10,10,5,"2015"," 10454"
"99","07X223","THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223",18,18,5,"2015"," 10454"
"100","07X224","P.S./I.S. 224",11,11,5,"2015"," 10454"
"101","07X296","SOUTH BRONX ACADEMY FOR APPLIED MEDIA",6,6,5,"2015"," 10456"
"102","07X298","ACADEMY OF PUBLIC RELATIONS",22,22,5,"2015"," 10456"
"103","07X343","ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY",25,25,5,"2015"," 10454"
"104","07X500","HOSTOS-LINCOLN ACADEMY OF SCIENCE",11,11,5,"2015"," 10455"
"105","07X551","THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS",5,5,5,"2015"," 10451"
"106","08X071","P.S. 071 ROSE E. SCALA",73,73,5,"2015"," 10461"
"107","08X101","M.S. X101 EDWARD R. BYRNE",80,80,17,"2015"," 10465"
"108","08X123","J.H.S. 123 JAMES M. KIERAN",17,17,5,"2015"," 10472"
"109","08X131","J.H.S. 131 ALBERT EINSTEIN",23,23,5,"2015"," 10473"
"110","08X269","BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS",5,5,5,"2015"," 10459"
"111","08X301","M.S. 301 PAUL L. DUNBAR",5,5,5,"2015"," 10456"
"112","08X302","M.S. 302 LUISA DESSUS CRUZ",19,19,5,"2015"," 10455"
"113","08X337","THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE",37,37,5,"2015"," 10472"
"114","08X367","ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",29,29,5,"2015"," 10473"
"115","08X371","URBAN INSTITUTE OF MATHEMATICS",20,20,5,"2015"," 10465"
"116","08X375","THE BRONX MATHEMATICS PREPARATORY SCHOOL",14,14,5,"2015"," 10473"
"117","08X376","ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL",16,16,5,"2015"," 10473"
"118","08X424","THE HUNTS POINT SCHOOL",10,10,5,"2015"," 10474"
"119","08X448","SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP",21,21,5,"2015"," 10473"
"120","08X467","MOTT HALL COMMUNITY SCHOOL",16,16,5,"2015"," 10465"
"121","08X562","BLUEPRINT MIDDLE SCHOOL",35,35,5,"2015"," 10472"
"122","09X004","P.S./M.S. 004 CROTONA PARK WEST",9,9,5,"2015"," 10457"
"123","09X022","J.H.S. 022 JORDAN L. MOTT",11,11,5,"2015"," 10456"
"124","09X117","I.S. 117 JOSEPH H. WADE",5,5,5,"2015"," 10453"
"125","09X128","MOTT HALL III",78,78,6,"2015"," 10456"
"126","09X215","KAPPA",38,38,5,"2015"," 10456"
"127","09X218","P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL",54,54,5,"2015"," 10452"
"128","09X219","I.S. 219 NEW VENTURE SCHOOL",8,8,5,"2015"," 10456"
"129","09X229","I.S. 229 ROLAND PATTERSON",14,14,5,"2015"," 10453"
"130","09X231","EAGLE ACADEMY FOR YOUNG MEN",5,5,5,"2015"," 10457"
"131","09X232","I.S. 232",32,32,5,"2015"," 10453"
"132","09X241","URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",15,15,5,"2015"," 10457"
"133","09X303","I.S. X303 LEADERSHIP & COMMUNITY SERVICE",16,16,5,"2015"," 10453"
"134","09X313","I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT",10,10,5,"2015"," 10457"
"135","09X323","BRONX WRITING ACADEMY",24,24,5,"2015"," 10456"
"136","09X324","BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING",21,21,5,"2015"," 10456"
"137","09X327","COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327",29,29,5,"2015"," 10452"
"138","09X328","NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL",5,5,5,"2015"," 10456"
"139","09X339","I.S. 339",7,7,5,"2015"," 10457"
"140","09X350","NEW DIRECTIONS SECONDARY SCHOOL",5,5,5,"2015"," 10457"
"141","09X361","THE HIGHBRIDGE GREEN SCHOOL",31,31,5,"2015"," 10452"
"142","09X413","BRONX HIGH SCHOOL FOR MEDICAL SCIENCE",15,15,5,"2015"," 10457"
"143","09X454","SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL",40,40,5,"2015"," 10456"
"144","09X505","BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",18,18,5,"2015"," 10451"
"145","09X568","YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX",16,16,5,"2015"," 10453"
"146","10X003","P.S. 3 RAUL JULIA MICRO SOCIETY",13,13,5,"2015"," 10457"
"147","10X015","P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING",28,28,5,"2015"," 10453"
"148","10X020","P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",34,34,5,"2015"," 10467"
"149","10X037","P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL",11,11,5,"2015"," 10463"
"150","10X045","THOMAS C. GIORDANO MIDDLE SCHOOL 45",46,46,5,"2015"," 10458"
"151","10X080","J.H.S. 080 THE MOSHOLU PARKWAY",52,52,5,"2015"," 10467"
"152","10X095","P.S. 095 SHEILA MENCHER",31,31,5,"2015"," 10463"
"153","10X118","J.H.S. 118 WILLIAM W. NILES",177,177,24,"2015"," 10457"
"154","10X141","RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)",84,84,19,"2015"," 10463"
"155","10X206","I.S. 206 ANN MERSEREAU",9,9,5,"2015"," 10468"
"156","10X225","THEATRE ARTS PRODUCTION COMPANY SCHOOL",19,19,5,"2015"," 10457"
"157","10X228","JONAS BRONCK ACADEMY",52,52,5,"2015"," 10458"
"158","10X243","WEST BRONX ACADEMY FOR THE FUTURE",12,12,5,"2015"," 10458"
"159","10X244","THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM",99,99,5,"2015"," 10463"
"160","10X254","I.S. 254",18,18,5,"2015"," 10458"
"161","10X279","P.S. 279 CAPTAIN MANUEL RIVERA, JR.",23,23,5,"2015"," 10453"
"162","10X280","P.S./M.S. 280 MOSHOLU PARKWAY",34,34,5,"2015"," 10467"
"163","10X308","BRONX DANCE ACADEMY SCHOOL",24,24,5,"2015"," 10467"
"164","10X331","THE BRONX SCHOOL OF YOUNG LEADERS",21,21,5,"2015"," 10453"
"165","10X342","INTERNATIONAL SCHOOL FOR LIBERAL ARTS",5,5,5,"2015"," 10468"
"166","10X363","ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE",42,42,5,"2015"," 10468"
"167","10X368","IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368)",27,27,5,"2015"," 10463"
"168","10X390","M.S. 390",26,26,5,"2015"," 10453"
"169","10X391","THE ANGELO PATRI MIDDLE SCHOOL",15,15,5,"2015"," 10457"
"170","10X447","CRESTON ACADEMY",28,28,5,"2015"," 10453"
"171","10X459","EAST FORDHAM ACADEMY FOR THE ARTS",22,22,5,"2015"," 10468"
"172","11X019","P.S. 019 JUDITH K. WEISS",36,36,5,"2015"," 10470"
"173","11X083","P.S. 083 DONALD HERTZ",75,75,6,"2015"," 10462"
"174","11X089","P.S. 089 BRONX",35,35,5,"2015"," 10469"
"175","11X127","J.H.S. 127 THE CASTLE HILL",98,98,11,"2015"," 10462"
"176","11X144","J.H.S. 144 MICHELANGELO",44,44,5,"2015"," 10469"
"177","11X175","P.S. 175 CITY ISLAND",14,14,5,"2015"," 10464"
"178","11X180","M.S. 180 DR. DANIEL HALE WILLIAMS",140,140,7,"2015"," 10475"
"179","11X181","I.S. 181 PABLO CASALS",142,142,12,"2015"," 10475"
"180","11X194","P.S./M.S. 194",72,72,12,"2015"," 10462"
"181","11X287","NORTH BRONX SCHOOL OF EMPOWERMENT",16,16,5,"2015"," 10467"
"182","11X326","BRONX GREEN MIDDLE SCHOOL",24,24,5,"2015"," 10467"
"183","11X355","BRONX ALLIANCE MIDDLE SCHOOL",19,19,5,"2015"," 10466"
"184","11X370","LEADERS OF TOMORROW",23,23,5,"2015"," 10467"
"185","11X462","CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA)",23,23,5,"2015"," 10475"
"186","11X468","PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT",38,38,5,"2015"," 10467"
"187","11X498","P.S./M.S. 11X498 - VAN NEST ACADEMY",32,32,5,"2015"," 10462"
"188","11X529","ONE WORLD MIDDLE SCHOOL AT EDENWALD",36,36,5,"2015"," 10466"
"189","11X532","BAYCHESTER MIDDLE SCHOOL",23,23,5,"2015"," 10466"
"190","11X556","BRONX PARK MIDDLE SCHOOL",24,24,5,"2015"," 10467"
"191","11X566","PELHAM GARDENS MIDDLE SCHOOL",41,41,5,"2015"," 10469"
"192","12X098","J.H.S. 098 HERMAN RIDDER",5,5,5,"2015"," 10460"
"193","12X129","M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP",20,20,5,"2015"," 10460"
"194","12X190","E.S.M.T- I.S. 190",15,15,5,"2015"," 10460"
"195","12X211","P.S. 211",20,20,5,"2015"," 10457"
"196","12X214","P.S. 214",31,31,5,"2015"," 10460"
"197","12X217","SCHOOL OF PERFORMING ARTS",5,5,5,"2015"," 10459"
"198","12X242","MOTT HALL V",12,12,5,"2015"," 10472"
